"Latest: Time (s)";"Latest: Potential (V)"
0;-0,00396728515625
0,1;-0,00396728515625
0,2;-0,00396728515625
0,3;0,00213623046875
0,4;0,00213623046875
0,5;-0,00396728515625
0,6;0,00213623046875
0,7;-0,00396728515625
0,8;0,00213623046875
0,9;0,020751953125
1;0,0634765625
1,1;0,241088867188
1,2;0,632934570312
1,3;0,253295898438
1,4;0,032958984375
1,5;0,00213623046875
1,6;-0,0100708007812
1,7;-0,0405883789062
1,8;-0,340576171875
1,9;-0,536499023438
2;0,032958984375
2,1;0,645141601562
2,2;0,216674804688
2,3;0,02685546875
2,4;0,00213623046875
2,5;-0,0161743164062
2,6;-0,114135742188
2,7;-1,1181640625
2,8;-0,108032226562
2,9;-0,0100708007812
3;-0,00396728515625
3,1;-0,00396728515625
3,2;-0,00396728515625
3,3;-0,00396728515625
3,4;0,00213623046875
3,5;-0,00396728515625
3,6;-0,00396728515625
3,7;-0,00396728515625
3,8;0,00213623046875
3,9;-0,00396728515625
4;-0,00396728515625
4,1;-0,00396728515625
4,2;-0,00396728515625
4,3;-0,00396728515625
4,4;-0,00396728515625
4,5;-0,00396728515625
