"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.068600000E-2,2.229811668E0,6.684948206E-1,9.847063065E0,1.011847797E1
1.312412500E-2,2.155634165E0,7.546364665E-1,9.847063065E0,1.010845616E1
1.556225000E-2,2.165205479E0,8.003991842E-1,9.815957069E0,1.008373774E1
1.800027100E-2,2.256132603E0,8.243274093E-1,9.756135941E0,1.004747921E1
2.043829200E-2,2.349751949E0,8.338986635E-1,9.727422714E0,1.004188597E1
2.287641700E-2,2.443071842E0,8.147560954E-1,9.727422714E0,1.006256330E1
2.531454200E-2,2.526820660E0,8.338986635E-1,9.727422714E0,1.008478866E1
2.775261500E-2,2.584248543E0,8.458628058E-1,9.751350403E0,1.012337192E1
3.019068800E-2,2.639283419E0,8.291130662E-1,9.760921478E0,1.014538484E1
3.262881300E-2,2.663211584E0,8.147560954E-1,9.780064583E0,1.016888326E1
3.506693800E-2,2.660818815E0,7.785646915E-1,9.813564301E0,1.019765483E1
3.750501100E-2,2.632104874E0,7.354938388E-1,9.835099220E0,1.020774725E1
3.994308400E-2,2.584248543E0,7.019943595E-1,9.875777245E0,1.023240503E1
4.238120900E-2,2.548356056E0,6.589235067E-1,9.902098656E0,1.024596782E1
4.481933400E-2,2.471785784E0,6.134598851E-1,9.933204651E0,1.025449231E1
4.725745900E-2,2.395215511E0,5.584250093E-1,9.961918831E0,1.026102932E1
4.969558400E-2,2.330609322E0,5.201398134E-1,9.995418549E0,1.027670556E1
5.213370900E-2,2.263311148E0,4.674977362E-1,1.004088211E1,1.030341909E1
5.457183400E-2,2.205883265E0,4.531407952E-1,1.009382343E1,1.034197897E1
5.700995900E-2,2.131705761E0,3.837489188E-1,1.013210869E1,1.036103562E1
5.944808400E-2,2.093420744E0,3.311068416E-1,1.017757225E1,1.039591358E1
6.188620900E-2,2.055135489E0,3.071786165E-1,1.017517948E1,1.038519225E1
6.432433400E-2,2.021636009E0,2.641077936E-1,1.014885807E1,1.035162235E1
6.676245900E-2,2.009671926E0,2.135594189E-1,1.011296558E1,1.031292693E1
6.920058400E-2,1.980958104E0,2.015953064E-1,1.006480980E1,1.025988460E1
7.163870900E-2,1.983350873E0,1.752742529E-1,9.973882675E0,1.017068028E1
7.407683400E-2,2.004886389E0,1.704886109E-1,9.899705887E0,1.010211921E1
7.651495900E-2,2.014457464E0,1.585244983E-1,9.799206734E0,1.000537963E1
7.895308400E-2,1.995314956E0,1.274178028E-1,9.772886276E0,9.975310684E0
8.139120900E-2,2.076670885E0,1.274178028E-1,9.756135941E0,9.975519322E0
8.382933400E-2,2.141277075E0,1.202393398E-1,9.736993790E0,9.970384801E0
8.626745900E-2,2.234597206E0,1.274178028E-1,9.789635658E0,1.004224209E1
8.870558400E-2,2.311466694E0,1.345962733E-1,9.811170578E0,1.008067768E1
9.114370900E-2,2.380858421E0,1.680957973E-1,9.796813965E0,1.008336783E1
9.358183400E-2,2.438286304E0,1.872383654E-1,9.813564301E0,1.011367107E1
9.601995900E-2,2.488535643E0,2.207378894E-1,9.825528145E0,1.013817233E1
9.845808400E-2,2.533999205E0,2.545365095E-1,9.825528145E0,1.015021892E1
1.008962090E-1,2.541177750E0,2.784647346E-1,9.815957069E0,1.014337913E1
1.033343340E-1,2.541177750E0,3.215355575E-1,9.803992271E0,1.013307623E1
1.057724590E-1,2.517249346E0,3.598206937E-1,9.782457352E0,1.010754604E1
1.082105840E-1,2.464607239E0,3.909274042E-1,9.739386559E0,1.005399242E1
1.106487090E-1,2.431107759E0,4.387838542E-1,9.744172096E0,1.005244776E1
1.130868340E-1,2.376072884E0,4.698905349E-1,9.703494072E0,1.000121576E1
1.155249590E-1,2.383251429E0,5.321039557E-1,9.660423279E0,9.964276186E0
1.179630840E-1,2.397608280E0,5.775675774E-1,9.653244972E0,9.963295051E0
1.204012090E-1,2.440679073E0,6.254240274E-1,9.665208817E0,9.988209600E0
1.228393340E-1,2.517249346E0,7.043871880E-1,9.655637741E0,1.000320178E1
1.252774590E-1,2.591426849E0,7.884350419E-1,9.636494637E0,1.000995264E1
1.277155840E-1,2.670390129E0,9.272187948E-1,9.586245537E0,9.994339479E0
1.301537090E-1,2.778067112E0,1.051645517E0,9.533603668E0,9.985650408E0
1.325918340E-1,2.902792931E0,1.113858938E0,9.528818130E0,1.002323618E1
1.350299590E-1,3.022433996E0,1.176072359E0,9.538389206E0,1.007467727E1
1.374680840E-1,3.137289524E0,1.209571838E0,9.545567513E0,1.012045003E1
1.399062090E-1,3.316751242E0,1.247856975E0,9.610174179E0,1.024272589E1
1.423443340E-1,3.417249918E0,1.259821177E0,9.686744690E0,1.034880520E1
