"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.499583156E-4,2.347119141E-1,-4.993166656E0,4.131408691E-1,5.015724107E0
1.039295836E-2,2.621049500E-1,-5.293891296E0,4.252656555E-1,5.317408668E0
2.033695835E-2,2.808160400E-1,-5.574258270E0,4.375401306E-1,5.598451061E0
3.027995833E-2,3.174897766E-1,-5.877078552E0,4.504133606E-1,5.902857297E0
4.022295837E-2,3.733236694E-1,-6.164929962E0,4.770579529E-1,6.194619947E0
5.016695836E-2,4.105961609E-1,-6.547833710E0,5.161267090E-1,6.580965148E0
6.010995834E-2,4.608915710E-1,-6.927893372E0,5.749543762E-1,6.966972093E0
7.005295833E-2,5.069956970E-1,-7.377109222E0,6.209088135E-1,7.420533193E0
7.999595837E-2,5.412744141E-1,-7.858059082E0,6.747967529E-1,7.905531050E0
8.993995836E-2,5.885760498E-1,-8.308472443E0,7.259902954E-1,8.360873041E0
9.988295834E-2,6.010002136E-1,-8.720266113E0,7.604187012E-1,8.773965976E0
1.098259583E-1,6.512956238E-1,-9.110354919E0,8.008346558E-1,9.168647059E0
1.197699584E-1,6.680607605E-1,-9.551487579E0,8.681945801E-1,9.614103286E0
1.297129584E-1,6.858737183E-1,-1.000534378E1,9.403445435E-1,1.007281365E1
1.396559583E-1,6.953041077E-1,-1.047476761E1,9.910890198E-1,1.054449912E1
1.495989583E-1,7.212002563E-1,-1.097757202E1,1.026116180E0,1.104898781E1
1.595429584E-1,6.972500610E-1,-1.146435974E1,1.040486298E0,1.153257619E1
1.694859584E-1,6.971003723E-1,-1.188109314E1,1.082249451E0,1.195063124E1
1.794289583E-1,6.882687378E-1,-1.227133163E1,1.110540619E0,1.234068857E1
1.893729583E-1,6.727011108E-1,-1.263971558E1,1.138382721E0,1.270869198E1
1.993159584E-1,6.601272583E-1,-1.302696030E1,1.141675873E0,1.309354369E1
2.092589583E-1,6.509962463E-1,-1.338696167E1,1.109193420E0,1.344860026E1
2.192019583E-1,6.568341064E-1,-1.377600266E1,1.106049957E0,1.383593245E1
2.291459583E-1,6.480024719E-1,-1.414588348E1,1.121467896E0,1.420505604E1
2.390889584E-1,6.626719666E-1,-1.444570999E1,1.128802643E0,1.450489113E1
2.490319583E-1,6.584806824E-1,-1.468416412E1,1.135239258E0,1.474269450E1
2.589759583E-1,6.782395935E-1,-1.485271362E1,1.133892059E0,1.491136553E1
